,source,translation,reference
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable., Here is a translation in Chinese:,绝地武士的破解版崩溃了，因为它调用了 vtable 结尾的一个函数。
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.", Here is a Chinese translation:,原来是假设调用 IDirect3D::CreateViewport() 将返回 IDirect3DViewport3，与 IDirect3DViewport 相比，还有别的方法，这就是我实现的。
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.", Here is a Chinese translation: 因为它是用 Direct3D3 对象创建视窗，而不是 Direct3D 对象，所以这对我来说是一个相当大的假设。,于我而言，这是一个非常大胆的假设，因为它仅使用 Direct3D 对象创建视口，而非使用 Direct3D3 对象。
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end."," 嗯,在实践中，IDirectXObject2 是 IDirectXObject 的正式超集，而且函数签名没有改变，只是新增了几个新方法。",现在，我明白了，在实践中，IDirectXObject2 通常作为 IDirectXObject 的一个适当的超集，不会改变函数签名，只是在末尾添加了新方法。
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.," As per your request, the translation in Chinese:",但这种方法并不是万能的；在这些情况下，使用什么接口来创建有问题的对象很重要。
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.", Translation in Chinese:,无论怎样，由于它在此处确实成立，所以为了修复它，我必须扩展我的 viewport 实现来包含 IDirect3DViewport3 方法，从而使其对新方法的调用表现出有效性。
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.", 假定为了论调，将科学视为至少部分是关于世界事物的客观真实陈述列表，无论它们支持了哪些理论，它们还是严格属实。,以讨论为目的，假设科学至少存在一部分由关于世界的客观事实陈述的列表组成，除了其可能支持的任意理论之外，该等陈述皆为事实。
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden., Here is a translation in Chinese:,即使这些事实确实存在于科学之中，仍然有可能认为科学事实是纯理论的。
8,Scientific facts result from experiments., 科学实验得出的结论都是有科学依据的。,科学事实源于实验。
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.", Here is a translation in Chinese: 这个读书会并不是通过实验创造事实，而是通过选择进行哪些实验来控制哪些事实被发现。,实验并不创造以上所述事实，但选择进行哪些实验控制了哪些事实会被发现。
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.", Translation in Chinese: 其中包括关于亚原子粒子的三个具体事实。这些事实可以通过仅在资本主义体制下才能够进行的实验得到证实。这些实验需要太多的资源、组织、强制性来进行，因此它们本身是不可能得到完成的。,一些事实，例如关于亚原子粒子的事实，只能从实验中得出，而这些实验本身只有在资本的支持下才有可能完成，因为它们需要付出大量资源、大量组织的参与、采取大量强制措施，否则就无法成功。
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts., Here is a Chinese translation:,以下是对一个似是而非的论点的简述，即资本主义影响科学实际内容的理论与断言客观科学事实存在的理论具有一致性。
12,"It's *not* an argument in favor of the existence of objective scientific facts, which I don't believe in.", Here is a Chinese translation:,这 *并非* 一个支持客观科学事实存在的论点，我不相信这一论点。
13,Going to be my first project car., Sure! Here's a Chinese translation:,它将是我第一辆项目车。
14,Picking this up this weekend.," 这是一个翻译请求,请?? Let me know if my response is not accurate or complete.",我这个周末来取它。
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.," As requested, the translation in Chinese is as follows: 我在找一辆好一点的车,学生车也行；还特别喜欢80年代的风格。",我正在寻找将与我朝夕相处的第一辆车；我确实非常喜欢 80 年代的审美观。
16,Already on coil overs and lowered ride height., 已更换液压减震器和降低了车架高度。,已经在盘旋并降低了行驶高度。
17,I've done a little research but I would love if anyone has any info about this car., A possible translation in Chinese is as follows: 我些研究了一阵，但如果有人能够提供这个汽车的信息，我不会感到好过。,我做过研究的，不过，如果谁能提供任何关于这辆车的信息，我会非常感激。
18,Personal experiences?, 中文翻译: 个人体验吗？ \\n ,个人体验？
19,I know they're not fast compared, A possible translation in Chinese is as follows: 我知道它们的速度可能不够理想的。,我知道相比之下它们的速度并不是很快
20,#Venting into the Fediverse time., Here is a translation in Chinese:,#在 Fediverse 中发泄。
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub., 我和我的老公今天晚上去了酒吧，那里有很多人要喝酒。,我和我的同居伙伴今晚去酒类专卖店买了些啤酒和一瓶起泡酒。
22,"When we went to check out, the cashier is a fairly obvious #trans woman."," 我们去结账时，收银员是个可能是变性女性的人。 This is a translation in Chinese, hope it helps!",我们去结账的时候，发现收银员明显是一位#跨性别女性。
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".", [Translation in Chinese] 我用泳衣和 T 恤睡覺，The Domestic Partner 則全身上下細紋密集，而且他自己形容的新造型「使我看起來像新納粹分子」。,我穿着冲浪短裤和背心，还有我的同居伙伴，都打扮了，剪了新发型，他自己形容，这样的打扮“让我看起来像个新纳粹主义分子”。
24,Her body immediately stiffened and there was this look of fear in her eyes., 她的身体立即变得僵硬，眼神中充满了恐惧。,她的身体立即僵硬，她的眼睛里有这种恐惧的表情。
25,And then we just... paid for our stuff., Here is the requested translation in Chinese:,然后我们就...为我们买的商品结了账。
26,And said thank you., Here is a translation in Chinees:,还说了谢谢。
27,And I said her nails looked cool., Here is a translation in Chinese:,并且我还夸她的指甲很靓丽。
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT., A possible translation in Chinese is as follows: :她脸上有着松了一口气的表情，带给了我很好的感觉，但她先害怕了，真令人无法满足和讨厌。,她脸上出现了如释重负的笑容，感觉很好，但她第一次遇到的恐惧真他妈的糟糕，我再也不想遇到那样的事。
29,This is the stupidest timeline and I hate it dot com., 这趟列车很晚了。,这次经历真蠢，我再也不想遇到它。
30,"Nothing stops Donald Trump from running for president while under indictment, after being convicted, or even from within a prison cell.", 在受控状指控、定罪以及甚至入狱之后，什么也不会阻止唐纳德·特朗普（Donald Trump）参加总统竞选。,谁都阻止不了唐纳德·特朗普在被起诉时、被定罪后，甚至是在监狱里竞选总统。
31,"If elected, he would undoubtedly pardon himself to get out of prison.", Sure! Here is a Chinese translation:,如果成功当选，毫无疑问，他会大赦自己离开监狱。
32,But he can't pardon himself out of state prison., Here is a translation in Chinese: 但他不能因个人屡犯使自己免于州监禁。,而他无法大赦自己离开州立监狱。
33,It takes the state's governor., 这需要州长的干预。,因为这一点需要州长同意。
34,The two states involved are New York and Georgia., 两个已确诊案例的州有纽约州和乔治亚州。,可以做到这一点的两个州就是纽约州和乔治亚州。
35,The latter's Governor Kemp will undoubtedly pardon Trump if convicted or even indicted by Fulton County DA Fannie Willis., 最后一位的州长坎彻无疑会对特朗普进行赦免，即使他被富尔顿县检察官凡尼·威利斯起诉或刑事指控。,如果被富尔顿县地方检察官法尼·威利斯定罪或甚至起诉，乔治亚州州长肯普无疑会赦免特朗普。
36,NY is the best hope for accountability, Here is a translation in Chinese:,纽约州肩负着问责的最大希望
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning., Certainly! The Chinese translation you asked for is as follows: 有充分证据显示，世界中的通信不能简单地等同于发送具有无上下文意义的信号。,大量证据表明，现实世界的通信不能简单认定为发送与背景毫无关联的信号。
38,"In this work, based on a variant of the classical Lewis (1969) signaling model, we explore the conditions for the emergence of context-dependent communication in a situated scenario.", 在这篇论文中，我们以 Lewis (1969) 传统的信令模型为基础，探讨了在情境下决定的情境交流在哪些前提下才能得以产生。,在本研究中，我们以一个经典的刘易斯（1969）信号模型的变体为基础，对在一个情境场景中出现依赖背景的通信的条件进行了探索。
39,"In particular, we demonstrate that pressure to minimise the vocabulary size is sufficient for such emergence."," 在特定情况下,我们证明了压力使词汇集的最小体积足以产生这种出现。",特别地，我们通过证据证实，对于此现象的出现，最小化词汇量的压力就已足够。
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.", 同时，我们还研究了允许符号意义上下文解释的环境条件和认知功能。,与此同时，环境条件和认知能力在符号意义方面使语境出现歧义，我们对此进行了研究。
41,"We show that environmental constraints on the receiver's referent choice can be unilaterally exploited by the sender, without disambiguation capabilities on the receiver's end.",我们表明，接收者选择 referent 时所受到的环境制约，可以被发送者单方面利用，但接收者身上并没有去除语义的能力。,我们发现，接收者选择所指对象的环境限制可以被发送者单方面利用，而接收者没有消除歧义的能力。
42,"Consistent with common assumptions, the sender's awareness of the context appears to be required for contextual communication.", Translation provided:,与通常假设一致，发送者对语境的意识似乎是语境通信的必需条件。
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.", 我们提出语用上的交际是地位在现实中的多层次现象，而这些现象的形成与可分割的原则是具有至关重要性的，主要取决于身临其境的环境描述。,我们认为，依赖语境的通信是一种情景化的多层次现象，受到环境属性如语境分布的重要影响。
44,"The model developed in this work is a demonstration of how signals may be ambiguous out of context, but still allow for near-perfect communication accuracy.", Translation in Chinese as listed: 该方法能证明信号在无相关信息的情况下可能存在多重解释，但足以带来接近完美的通讯准确度。,此研究中开发的模型表明，信号在脱离语境的情况下可能是模糊的，但仍然为几近完美的通信精度提供了条件。
45,I really enjoyed catching up with Penny and Nicholas from Ashanti Development at the weekend for a chat about their progress., Here is the requested translation in Chinese:,周末真的很开心，与来自 Ashanti Development 的 Penny 和 Nicholas 讨论了一下他们的进展。
46,"Ashanti Development has been working with an ever-expanding number of communities in the Ashanti region of Ghana for approaching 20 years, engaging with communities and providing support with water and sanitation, education, healthcare, tree planting and farming.", 阿善提发展已在加纳阿善提地区近20年与不断增加的社区合作，在水和卫生、教育、医疗、植树和农业方面与社区互动并提供支持。,近 20 年以来，Ashanti Development 一直在与加纳 Ashanti 地区越来越多的社区合作，参与到社区工作中，并在水利、卫生、教育、医疗保健、植树和农业方面提供了支持。
47,Communities gain the knowledge to embed and support their own development., 这个有趣的翻译将转化为对应的中文: consumer.,社区人员学习了知识，并将这些知识用于支持自身的发展。
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects., Here is a translation in Chinese:,2011 年，我有幸与 Nicholas 共同经历了难忘的六个月，为一系列项目提供了支持。
49,"When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support."," When we caught up at the weekend, I was thrilled to hear progress, in particular with tree planting and farm support.",周末见面时，得知工作的进展，我很开心，特别是植树和农场获得的支持。
50,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training., 一千棵树被种植并且通过多种干预措施，从支持购买设备到培训，农民的农作物产量得到提高。,种植了成千上万棵树，通过从购买设备到培训的一系列干预措施，农户见证了作物增产。
51,"Nicholas is working with farmers to reduce pesticide use while finding ways to address the issues caused by climate change and pests such as fall armyworm, which can devastate maize crops.", 尼古拉斯正在协助农民减少农药使用，同时想方设法解决气候变化和影响玉米作物的小黄蜂等问题所造成的毁灭性问题。,Nicholas 正在与农户合作，降低使用杀虫剂，同时寻找解决气候变化和害虫（如秋粘虫，会破坏玉米作物）引起的问题的解决方案。
52,Photos from my visit to Ghana in 2011., 2011年访问加纳的照片。,本人 2011 年到访加纳的照片。
53,The UPS store near me won't allow me to write a label or write on the box., Here is a translation in Chinese:,我附近的 UPS 商店不允许我手写标签或写产品盒上。
54,The must print the label., Certainly! The translation you asked for in Chinese can be: 必须打印标签。,他们要求必须打印标签。
55,They won't allow me to tell them the address it's going to and who is shipping it., 他们不允许我告诉他们它被发送到哪里以及谁发货。,他们不允许我告诉他们商品的收货地址和承运人。
56,"I have to email some random address, with unformatted data, so the clerk can read the email and enter it into their system to print a label.", 我的生活离艺术园林越来越近了。,我不得不通过电子邮件发送一些随机地址，这些地址带有未格式化的数据，这样店员就可以阅读电子邮件，并将其输入他们的系统，从而打印标签。
57,"And they always to charge me $2.25 for that ""convenience""."," 当然不是,我们希望提供最准确的翻译结果。 Here’s the requested Chinese translation: 一直要我 $2.25 作为“便利费”！",针对这种“便利”，他们总是向我收取 2.25 美元的费用。
58,The next morning and I can't get past Chris Licht's disgraceful pretense of public service journalism on CNN last night., Here is the requested translation in Chinese: 第二天我一到上班，就忍不住要说说克里斯·利希特多日来在 CNN 担任记者是个羞耻的假象。,第二天早上，对于克里斯·利希特昨晚在美国有线电视新闻网伪装不光彩的公共服务新闻，我无法忘记。
